month,retail_format,channel,sales_thousand_ars,share_pct,is_observed
2018-04-01,supermarkets,online,491474.68862,1.4406940047580594,True
2018-05-01,supermarkets,online,725754.7976899999,2.065726734540722,True
2018-06-01,supermarkets,online,593413.63629,1.5478386712023684,True
2018-07-01,supermarkets,online,581799.0561899999,1.4812169440071667,True
2018-08-01,supermarkets,online,639204.78984,1.6185715858235892,True
2018-09-01,supermarkets,online,612546.82257,1.5342226668131442,True
2018-10-01,supermarkets,online,773767.1168,1.7820419013750608,True
2018-11-01,supermarkets,online,772485.21409,1.722396334585644,True
2018-12-01,supermarkets,online,751599.44123,1.3138941702246765,True
2019-01-01,supermarkets,online,693048.47043,1.525408747544026,True
2019-02-01,supermarkets,online,677957.8397799999,1.5203526122620936,True
2019-03-01,supermarkets,online,717911.5714899999,1.4058588294324956,True
2019-04-01,supermarkets,online,681844.1039799999,1.3740925820941436,True
2019-05-01,supermarkets,online,964446.87431,1.899328799774363,True
2019-06-01,supermarkets,online,821703.3616599999,1.5101116001836454,True
2019-07-01,supermarkets,online,923140.63296,1.6770811443816198,True
2019-08-01,supermarkets,online,1024177.97836,1.7163429842177842,True
2019-09-01,supermarkets,online,997476.22679,1.7231941725916418,True
2019-10-01,supermarkets,online,1180651.47825,1.780084675449261,True
2019-11-01,supermarkets,online,1489506.4453500002,2.1922653932807576,True
2019-12-01,supermarkets,online,1278463.61382,1.5306423926310628,True
2020-01-01,supermarkets,online,1040882.66074,1.4839012164841892,True
2020-02-01,supermarkets,online,980258.51473,1.3521845267512533,True
2020-03-01,supermarkets,online,1603155.57539,1.8689582344574824,True
2020-04-01,supermarkets,online,3210641.9290200006,4.280308217748689,True
2020-05-01,supermarkets,online,3627916.794580001,4.615991942629302,True
2020-06-01,supermarkets,online,3678005.64307,4.70135651667085,True
2020-07-01,supermarkets,online,4726974.45707,5.825651833413547,True
2020-08-01,supermarkets,online,4005445.0164,4.981154985558176,True
2020-09-01,supermarkets,online,3944359.19539,5.1188366197129405,True
2020-10-01,supermarkets,online,4601678.305080001,5.15742828155591,True
2020-11-01,supermarkets,online,4838176.70645,5.3112201398352665,True
2020-12-01,supermarkets,online,3975909.55075,3.4332462499701113,True
2021-01-01,supermarkets,online,3483037.9868500005,3.5538453977227586,True
2021-02-01,supermarkets,online,3046180.66555,3.277075766123725,True
2021-03-01,supermarkets,online,3982669.19388,3.7142796376369365,True
2021-04-01,supermarkets,online,4128007.24374,3.862636908052102,True
2021-05-01,supermarkets,online,5607036.33009,5.069437922280058,True
2021-06-01,supermarkets,online,4810298.409969999,4.1365427540969035,True
2021-07-01,supermarkets,online,4754454.214929999,3.7836296209951352,True
2021-08-01,supermarkets,online,4658789.019680001,3.731798365370384,True
2021-09-01,supermarkets,online,4416780.258529999,3.5908125024394852,True
2021-10-01,supermarkets,online,4486843.91995,3.1937676495320844,True
2021-11-01,supermarkets,online,5751181.80928,4.058646600616958,True
2021-12-01,supermarkets,online,5116430.63427,2.780923460648902,True
2022-01-01,supermarkets,online,4819479.553599999,3.119059143012557,True
2022-02-01,supermarkets,online,3796044.07646,2.494073517883414,True
2022-03-01,supermarkets,online,4661427.42714,2.7585266902069536,True
2022-04-01,supermarkets,online,4144573.383260001,2.3390258194106726,True
2022-05-01,supermarkets,online,4281329.20203,2.3832619767358985,True
2022-06-01,supermarkets,online,6604256.65058,3.367551004569861,True
2022-07-01,supermarkets,online,7262837.590410001,3.1824492778802913,True
2022-08-01,supermarkets,online,7246899.535399999,3.2135871136422467,True
2022-09-01,supermarkets,online,8311857.66562,3.5803336749713055,True
2022-10-01,supermarkets,online,8770878.014759999,3.3014718804667194,True
2022-11-01,supermarkets,online,11812684.98915,4.147909726297132,True
2022-12-01,supermarkets,online,10616793.4917,2.9518347295813796,True
2023-01-01,supermarkets,online,9314561.14245,2.942260592127671,True
2023-02-01,supermarkets,online,8846908.001230001,2.778403180964391,True
2023-03-01,supermarkets,online,11547315.44003,3.1797792244640832,True
2023-04-01,supermarkets,online,10954941.807589997,2.839435558898999,True
2023-05-01,supermarkets,online,14462742.917069998,3.7189117880031666,True
2023-06-01,supermarkets,online,12528760.526069997,2.9423653442337874,True
2023-07-01,supermarkets,online,15281302.853480002,3.1659979273880223,True
2023-08-01,supermarkets,online,18657528.72354,3.471754422734625,True
2023-09-01,supermarkets,online,16572711.735530002,2.856807269405969,True
2023-10-01,supermarkets,online,26120056.76104,3.687271852559573,True
2023-11-01,supermarkets,online,28618728.15484,3.7444129056500066,True
2023-12-01,supermarkets,online,31032995.3184,2.7054431564197365,True
2024-01-01,supermarkets,online,31401144.578970008,2.8501461729403306,True
2024-02-01,supermarkets,online,33384434.91634,2.7983318463598303,True
2024-03-01,supermarkets,online,38681622.09028,2.718443039348989,True
2024-04-01,supermarkets,online,40478838.531090006,3.031854384621168,True
2024-05-01,supermarkets,online,51848591.73305,3.6697102048661416,True
2024-06-01,supermarkets,online,44388418.87694,2.8956787252354297,True
2024-07-01,supermarkets,online,50971855.90001998,3.209051950560122,True
2024-08-01,supermarkets,online,54573573.02919,3.270878619688945,True
2024-09-01,supermarkets,online,50687347.56737,3.197686539042289,True
2024-10-01,supermarkets,online,55187797.65037,3.2494567670481986,True
