month,retail_format,nominal_sales_million_ars,constant_sales_million_ars,real_sales_index_original,real_sales_index_sa,real_sales_index_trend,nominal_sales_yoy_pct,real_sales_yoy_pct,real_sales_sa_mom_pct,is_partial_year
2022-01-01,supermarkets,154517.09418196804,25464.131520078303,92.604615223509,91.5607139009553,91.3760840583076,57.65830464705879,4.275633541163004,-0.38635900472206997,False
2022-02-01,supermarkets,152202.57339011703,23803.20202289494,86.5643645721658,92.8763988615909,91.3409507374196,63.73925894784114,6.632648497279425,1.4369535847643444,False
2022-03-01,supermarkets,168982.50227879308,24612.901369363757,89.50897300569312,89.7392063034567,91.2071039285364,57.594878403542246,-0.059494511859692345,-3.3778145972362728,False
2022-04-01,supermarkets,177192.28872404504,24147.43609700489,87.81622992459842,89.3072631378191,91.013290529224,65.80142277744594,3.161216771455244,-0.48133160903715,False
2022-05-01,supermarkets,179641.5687331929,23234.77377354882,84.49717923457183,90.6098144343327,90.8066010909374,62.417670823139936,-0.5717979227352732,1.4585054459719693,False
2022-06-01,supermarkets,196114.524816932,24144.358858783595,87.805039028054,90.6024704357279,90.6474223605339,68.64569460456742,1.9696123448190717,-0.008105080725151481,False
2022-07-01,supermarkets,228215.34473119717,26090.25557801412,94.88162111399495,93.4887817488029,90.6080079817373,81.61544927261164,5.289817140101927,3.1856872105076928,False
2022-08-01,supermarkets,225508.10913560196,23930.70583602192,87.02805372429115,89.3056086178591,90.7358939954158,80.63724059945008,-0.24744914076092472,-4.474518816796291,False
2022-09-01,supermarkets,232153.1572245599,23136.67558390528,84.14042859892183,91.4060568467807,91.0447704777939,88.73894797750461,0.7605125386950462,2.3519779568486943,False
2022-10-01,supermarkets,265665.6888902528,24989.575744483296,90.878812991989,90.9537932711919,91.5165846474786,89.10274079197289,-1.564475860530412,-0.49478512824036036,False
2022-11-01,supermarkets,284786.453144324,25637.81721913514,93.2362526040457,92.8401623660512,92.0712757322144,100.97566174850078,2.442207735198898,2.0739861714561103,False
2022-12-01,supermarkets,359667.612326173,30974.17760841442,112.64282848327925,88.2364152447146,92.5912611382556,95.48942859773959,-1.9699991879701284,-4.958788313170858,False
2023-01-01,supermarkets,316578.3876306558,25668.396255302632,93.34745843393875,94.1317528466178,92.9741410010598,104.88243666932746,0.8021665104237297,6.6812977222080905,False
2023-02-01,supermarkets,318416.9980023959,24038.38136361809,87.41963396704043,93.7362349651639,93.1524803531045,109.2060540830985,0.9880155640276334,-0.42017477577238616,False
2023-03-01,supermarkets,363148.33907930506,25555.024368715436,92.93516241959038,92.8905733568635,93.1294234242843,114.90292437507557,3.827760836535732,-0.9021715120248741,False
2023-04-01,supermarkets,385814.0669280695,24972.50982923188,90.81674990870464,92.3434966606245,92.9737677231685,117.73750410150576,3.416817126723104,-0.588947485701552,False
2023-05-01,supermarkets,388897.17588154,23290.79746793924,84.70091886175422,90.8834436833782,92.7521086975882,116.4850700336165,0.24112003386147496,-1.5811107766605326,False
2023-06-01,supermarkets,425805.7399507801,23922.6367963404,86.99870929860984,90.0116029855265,92.4774719530125,117.1209604940068,-0.91831828602289,-0.9592954035600232,False
2023-07-01,supermarkets,482669.38905065,25448.16747573469,92.5465592798894,91.8541635340478,92.0881373219513,111.49734239788339,-2.461026494583296,2.047025591597995,False
2023-08-01,supermarkets,537409.23036958,25164.69551067577,91.51566559988171,93.3665585997813,91.4717051545433,138.31037936042753,5.156511818370113,1.6465177053981872,False
2023-09-01,supermarkets,580113.0483323103,24005.18686689924,87.29891657309501,92.4757548192151,90.5084874226922,149.88376435095026,3.753829195747227,-0.9540929792482333,False
2023-10-01,supermarkets,708384.3504217999,26779.197295332848,97.38707403287498,99.9780514571771,89.1518711246195,166.64502796009742,7.1614723240934985,8.112717384820023,False
